Date,mcash,mbonds,msbonds,mlbonds,mibonds,mstocks,mlstocks,msstocks,mgstocks,mvstocks,mistocks,mdstocks,mestocks,moil,mgold,mreit,musd,mvixi,mmom,msprem,msize,mstyle,mrisk,mcpi,mparity,mtail,mhedge,mlstocks2x,misprem
2007-01-31,109,7.160662,8.528708,6.47698,7.589386,29.046599,109.44192,29.462111,17.7747,14.385218,13.796844,33.954123,19.325036,48.24,64.83,91.4,24.94,10.42,0.24,1.4,0.1,-0.13,0.44,203.437,1200.17,110.55,1.28258591975,37.424652,0.61
2007-02-28,109.12,7.268778,8.608584,6.666734,7.758039,28.57824,107.286771,29.426826,17.840741,14.302498,13.804578,34.068368,19.076766,51.18,66.48,88.13,24.94,15.42,-1.33,-1.96,1.32,-0.1,0.38,204.226,1183.12,108.39,0.686637589821,38.025387,0.56
2007-03-31,109.28,7.270352,8.632868,6.591707,7.782285,28.895044,108.479851,29.785012,18.16343,14.38777,14.19126,35.012809,19.86162,53.35,65.74,85.24,24.79,14.64,2.47,0.68,-0.06,-0.23,0.43,205.288,1190.67,109.6,0.774887750936,41.4011,2.49
2007-04-30,109.4,7.307607,8.673239,6.648708,7.87072,30.05387,113.272432,30.579046,18.805048,14.652678,14.748083,36.384936,20.702536,51.24,67.09,85.49,24.49,14.22,-0.16,3.49,-2.07,-1.15,0.44,205.904,1208.87,114.46,1.92605832309,43.953819,3.75
2007-05-31,109.58,7.25082,8.638874,6.520618,7.730698,31.162311,117.210973,31.928898,19.767474,15.190771,15.204369,37.194336,21.935878,48.96,65.54,85.62,24.92,13.05,-0.27,3.24,-0.01,-0.07,0.41,206.755,1250.2,118.45,2.1490649124,42.173172,1.92
2007-06-30,109.64,7.223215,8.670263,6.463231,7.689753,30.640432,115.248371,31.417191,19.62594,14.809966,15.297174,37.224881,22.920951,53,64.27,77.42,24.88,16.23,0.3,-1.96,0.79,-1.11,0.4,207.234,1237.49,116.47,1.16324842118,39.319363,0.01
2007-07-31,109.57,7.283695,8.76268,6.6175,7.837918,29.595487,111.685105,29.608564,18.767305,13.74206,15.134766,36.522382,23.914032,58.53,65.79,70.4,24.65,23.52,2.79,-3.73,-2.5,-3.34,0.4,207.603,1204.92,115.79,0.558761473359,39.753506,-1.41
2007-08-31,109.86,7.381306,8.863027,6.747971,7.897184,30.025264,113.358516,30.005577,19.003193,13.94074,15.026495,36.102406,23.681779,55.78,66.52,74.1,24.79,23.38,0.09,0.92,-0.1,-2.25,0.42,207.667,1225.41,121.03,-1.21900934086,42.734356,-2.61
2007-09-30,109.8,7.434818,8.927964,6.762695,8.174399,31.104606,117.58229,30.649628,19.62594,14.064915,15.985469,38.072463,26.228551,62.55,73.51,76.47,24.05,18,4.64,3.22,-2.28,-1.91,0.32,208.547,1258.76,123.62,2.9824011079,43.746555,5.29
2007-10-31,109.86,7.50411,8.968246,6.857311,8.323296,31.67999,119.438721,31.452482,20.371349,14.255316,16.928974,39.683633,29.456063,73.27,78.62,77.05,23.75,18.53,4.87,1.8,0.22,-2.62,0.32,209.19,1284.27,124.38,2.79843618567,40.026592,4.3
2007-11-30,110.13,7.640407,9.162521,7.166044,8.442413,30.258452,114.43807,29.317417,18.984324,13.295028,16.155609,38.209909,27.101501,69.91,77.32,70.02,23.82,22.87,0.9,-4.83,-2.61,-1.18,0.34,210.834,1243.37,119.55,-1.19736678182,37.154732,-4.62
2007-12-31,109.6,7.664673,9.185067,7.138403,8.387779,30.075762,113.647518,29.107345,18.969299,13.106271,15.784766,37.240955,27.010483,75.76,82.46,65.7,23.7,22.5,6.54,-0.87,0.19,-0.44,0.27,211.445,1254.44,117.96,0.985957316049,33.82177,-2.12
2008-01-31,110.37,7.802165,9.369375,7.327349,8.673813,28.24706,106.81101,27.293718,17.300835,12.632449,14.435641,34.209716,24.017475,72.35,91.4,65.77,23.44,26.2,-7.81,-6.36,-0.87,3.69,0.21,212.174,1183.23,109.72,-1.85626460962,31.988869,-8.87
2008-02-29,110.28,7.810068,9.471919,7.353339,8.898003,27.379489,103.338098,26.578989,16.950077,12.234776,14.483257,34.036501,25.134756,80.42,96.18,63.01,22.95,26.54,6.11,-3.09,-0.21,-0.88,0.13,212.687,1164.67,105.26,2.41406122423,30.938828,2.07
2008-03-31,110.4,7.833829,9.496434,7.428629,9.127842,27.22204,102.877186,26.437515,16.755031,12.252168,14.380089,34.036501,24.180581,81.45,90.41,65.1,22.4,25.61,4.08,-0.93,0.91,-0.18,0.17,213.448,1169.03,103.62,-1.71958236256,33.907047,-1.53
2008-04-30,110.28,7.802727,9.404794,7.292493,8.794085,28.589122,107.879508,27.885412,17.845482,12.794074,15.221308,36.006085,26.137862,92.59,86.65,68.88,22.61,20.79,-0.2,4.6,-1.65,-0.99,0.18,213.942,1214.47,107.38,1.44930388174,34.705742,5.17
2008-05-31,110.13,7.749257,9.357563,7.137565,8.669897,29.187221,109.265287,29.324371,18.954899,13.327513,15.451452,36.352903,26.610873,103.21,87.45,69.44,22.67,17.83,3.22,1.86,3.15,-1.49,0.18,215.208,1243.48,107.59,1.76997247194,28.959818,1.76
2008-06-30,110.13,7.748606,9.388338,7.266232,8.655123,26.79603,100.031243,26.714581,17.75066,11.786467,14.062647,33.2473,23.854368,113.77,91.4,60.8,22.47,23.95,12.45,-8.44,1.32,-2.47,0.17,217.463,1149.28,98.13,-0.531677425185,28.315239,-7.91
2008-07-31,110.2,7.748855,9.436825,7.288204,8.701907,26.590039,99.199273,27.161463,17.66532,12.260634,13.546805,32.120139,22.859417,100.1,90.08,62.3,22.69,22.94,-5.2,-0.77,2.44,5.89,0.15,219.016,1144.76,96.71,-1.6740566952,28.951588,-4.07
2008-08-31,110.13,7.803245,9.489815,7.419637,8.397808,27.010604,100.633993,28.010538,18.09202,12.734803,12.856371,30.780158,21.081553,93.4,81.71,63.43,23.93,20.65,-4.05,1.53,3.61,1.57,0.13,218.69,1177.29,97.24,-0.856436534341,23.210293,-4.58
2008-09-30,110.3,7.716554,9.540199,7.440297,8.247427,24.506745,91.68173,25.373936,15.797329,11.96428,11.173932,26.949387,17.656309,82.01,85.07,61.95,24.44,39.39,0.33,-9.24,-1.11,6.26,0.15,218.877,1092.5,95,-4.4331658216,15.141432,-14.43
2008-10-31,110.38,7.52123,9.587253,7.170092,7.800985,20.18659,76.286162,19.913044,12.298401,9.441027,8.705826,21.392406,12.771261,55.59,71.34,42.55,26.5,59.89,7.83,-17.23,-2.25,-2.75,0.08,216.995,922.08,100.79,-4.47952402868,12.570598,-21.11
2008-11-30,110.58,7.795445,9.685951,8.03582,7.941967,18.591323,70.812757,17.625009,10.762287,8.450354,8.15824,20.099719,11.768155,42.09,80.31,33.38,26.55,55.28,7.22,-7.86,-3.01,-5.85,0.03,213.153,817.02,94.15,-1.17381994634,12.41465,-5.44
2008-12-31,110.39,8.054795,9.799883,8.748416,8.598737,18.937012,71.571743,18.603326,11.380471,8.901745,8.828908,21.800272,12.733661,33.1,86.52,37.23,24.69,40,-5.05,1.74,3.62,-0.21,0,211.398,862.39,95.15,1.12166042952,10.393259,6.65
2009-01-31,110.33,7.998736,9.791843,8.007666,8.127143,17.373406,65.550725,16.697397,10.529327,7.742164,7.773367,19.012055,11.691039,29.22,91.31,31.34,25.95,44.84,-1.92,-8.12,0.1,-11.25,0,211.933,807.19,87.13,0.356563648676,8.199966,-9.01
